319,50054000,-27928000
317,-27923000,-22924000
21536,-20019000,-12323000
125,-7492000,-5585000
126,-4085000,-1330000
20705,55592000,37258000
35,43238000,45826000
382,51559000,53867000
42,-25986000,32615000
106,34305000,49855000
106,49855000,-20996000
82,432000,6972000
61,-19700000,54638000
61,54638000,42576000
82,43775000,1742000
61,2552000,35688000
82,36648000,22122000
61,-4097000,32695000
52,33245000,40967000
52,40967000,48689000
52,48689000,56410000
52,56410000,-22268000
51,-21963000,-19301000
128,-22866000,10335000
128,10335000,43537000
124,43712000,46572000
128,49542000,-28672000
128,-28672000,-20487000
17,-15484000,-23105000
24017,-19819000,25354000
24018,26272000,28589000
377,28589000,30874000
24019,31442000,-28106000
24020,-21881000,-5725000
24021,-5487000,54743000
256,-26440000,-24129000
255,-21423000,-17779000
255,-17779000,-14135000
82,-11382000,16283000
82,16283000,43948000
51,44263000,50210000
23398,32360000,34440000
23399,37503000,49318000
23400,49832000,-22429000
23401,-22246000,24576000
23402,25689000,-15791000
11,-13041000,-8203000
23399,37503000,49318000
23400,49832000,-22429000
23401,-22246000,24576000
23402,25689000,-15791000
11,-13041000,-8203000
51,-6606000,6931000
23401,-22246000,24576000
23402,25689000,-15791000
11,-13041000,-8203000
51,-6606000,6931000
133,7553000,9793000
23403,22737000,-22718000
52,46589000,1486000
61,1811000,30446000
52,32791000,34747000
19456,36617000,51390000
52,54465000,-23605000
51,-23090000,-19715000
17,2320000,6084000
99,-11412000,-6158000
24023,-14417000,-4482000
24024,-798000,5746000
42,11182000,14169000
15,14691000,17607000
99,-11412000,-6158000
24023,-14417000,-4482000
24024,-798000,5746000
42,11182000,14169000
15,14691000,17607000
377,-2086000,81000
61,-2981000,38036000
61,38036000,-7347000
256,-3713000,54238000
82,55013000,16993000
82,16993000,-21027000
61,-19599000,52978000
25405,-17100000,-6585000
82,-2435000,-490000
78,140000,11913000
25406,13914000,-25103000
82,-23323000,10732000
25407,11927000,-26161000
51,31035000,44661000
52,47577000,-23583000
19214,5578000,31976000
93,33261000,36126000
616,41506000,-18568000
334,-18003000,-14998000
82,-23323000,10732000
25407,11927000,-26161000
82,-24401000,8390000
154,10225000,-25765000
82,-23978000,10676000
25408,12823000,-25915000
82,-24401000,8390000
154,10225000,-25765000
82,-23978000,10676000
25408,12823000,-25915000
82,-24753000,9624000
25409,12059000,-25524000
263,-26742000,-22130000
256,-21478000,-8564000
255,-7774000,28224000
256,29234000,52582000
258,53094000,-25490000
256,-25148000,-17930000
82,-23978000,10676000
25408,12823000,-25915000
82,-24753000,9624000
25409,12059000,-25524000
82,-21672000,9654000
154,10849000,-24339000
51,-3793000,5004000
61,5489000,42369000
52,42529000,45170000
476,50125000,56015000
356,-28115000,-16463000
19718,-14493000,-5971000
82,-21672000,9654000
154,10849000,-24339000
91,-22508000,8765000
25410,10335000,-26015000
91,-24075000,16552000
25411,18272000,-24652000
30,3046000,4908000
23412,-20500000,-16937000
30,21056000,-22307000
82,-21028000,21708000
30,22466000,-2547000
93,4478000,6351000
61,-20614000,-18459000
52,-18409000,38339000
106,40925000,42963000
52,46755000,-11466000
52,-11466000,16712000
61,16867000,-23482000
269,-5943000,21142000
22515,21142000,24778000
33,26663000,28658000
22516,50082000,-9942000
37,38401000,41406000
106,44101000,45951000
36,-21979000,-15559000
52,-12479000,-3860000
61,-3575000,50160000
52,52236000,-25105000
61,-24165000,-20831000
19719,-19475000,-14812000
24337,36518000,49854000
61,-82000,45641000
99,46536000,-23843000
101,43724000,45914000
24338,55157000,-21411000
61,-18331000,-19441000
20721,-15705000,31714000
106,35510000,45689000
106,45689000,55868000
106,55868000,-20353000
20722,-16816000,-13098000
35,-11076000,-4508000
19719,-19475000,-14812000
52,-12082000,8978000
61,9498000,45461000
52,45761000,-17993000
52,-17993000,4653000
61,5024000,47556000
51,-20254000,-18059000
52,-17513000,-9183000
52,-9183000,-853000
68,-403000,31863000
52,33088000,-27748000
52,-27748000,-2184000
263,-24026000,-19673000
256,-18869000,-13646000
255,-12756000,28979000
256,29861000,-5907000
255,-5052000,-556000
255,-556000,3941000
52,-17993000,4653000
61,5024000,47556000
52,47981000,6868000
61,7878000,43404000
52,43784000,-25923000
52,-25923000,-9230000
103,46340000,-21362000
78,-21362000,-19526000
24044,-11687000,32668000
24045,-19600000,-14243000
356,1565000,3393000
115,-10496000,-8593000
19216,47462000,55962000
19217,55962000,-17579000
93,-16589000,-13723000
19218,-11553000,55835000
